Sentence #,Word,Tag
Frase1,Cambia,O
Frase1,l'atmosfera,O
Frase1,della,O
Frase1,presentazione,B_NOME_SCENARIO
Frase1,.,O
Frase2,Puoi,O
Frase2,modificare,O
Frase2,l'ambiente,O
Frase2,per,O
Frase2,una,O
Frase2,conferenza,B_NOME_SCENARIO
Frase2,telefonica,O
Frase2,?,O
Frase3,Cambia,O
Frase3,il,O
Frase3,contesto,O
Frase3,per,O
Frase3,una,O
Frase3,riunione,B_NOME_SCENARIO
Frase3,informale,O
Frase3,.,O
Frase4,Il,O
Frase4,prossimo,O
Frase4,meeting,O
Frase4,dovrebbe,O
Frase4,avere,O
Frase4,un'atmosfera,O
Frase4,più,O
Frase4,rilassata,B_NOME_SCENARIO
Frase4,.,O
Frase5,Muxi,O
Frase5,",",O
Frase5,crea,O
Frase5,un,O
Frase5,ambiente,O
Frase5,in,O
Frase5,stile,O
Frase5,sala,O
Frase5,riunioni,B_NOME_SCENARIO
Frase5,per,O
Frase5,la,O
Frase5,videochiamata,O
Frase5,.,O
Frase6,Cambia,O
Frase6,l'ambiente,O
Frase6,per,O
Frase6,una,O
Frase6,sessione,O
Frase6,di,O
Frase6,brainstorming,B_NOME_SCENARIO
Frase6,.,O
Frase7,Puoi,O
Frase7,impostare,O
Frase7,il,O
Frase7,contesto,O
Frase7,per,O
Frase7,un,O
Frase7,seminario,O
Frase7,di,O
Frase7,formazione,B_NOME_SCENARIO
Frase7,?,O
Frase8,Cambia,O
Frase8,il,O
Frase8,contesto,O
Frase8,con,O
Frase8,un'aula,O
Frase8,universitaria,B_NOME_SCENARIO
Frase8,.,O
Frase9,Puoi,O
Frase9,modificare,O
Frase9,l'atmosfera,O
Frase9,in,O
Frase9,una,O
Frase9,stanza,O
Frase9,tranquilla,B_NOME_SCENARIO
Frase9,?,O
Frase10,Cambia,O
Frase10,l'ambientazione,O
Frase10,per,O
Frase10,una,O
Frase10,presentazione,B_NOME_SCENARIO
Frase10,interattiva,O
Frase10,.,O
Frase11,Muxi,O
Frase11,",",O
Frase11,puoi,O
Frase11,cambiare,O
Frase11,l'ambiente,O
Frase11,per,O
Frase11,un,O
Frase11,workshop,B_NOME_SCENARIO
Frase11,di,O
Frase11,idee,O
Frase11,?,O
Frase12,Cambia,O
Frase12,l'ambiente,O
Frase12,per,O
Frase12,un,O
Frase12,evento,O
Frase12,di,O
Frase12,networking,B_NOME_SCENARIO
Frase12,.,O
Frase13,Puoi,O
Frase13,modificare,O
Frase13,l'atmosfera,O
Frase13,in,O
Frase13,una,O
Frase13,sala,O
Frase13,vivace,O
Frase13,e,O
Frase13,dinamica,B_NOME_SCENARIO
Frase13,?,O
Frase14,Cambia,O
Frase14,il,O
Frase14,contesto,O
Frase14,con,O
Frase14,uno,O
Frase14,spazio,B_NOME_SCENARIO
Frase14,per,O
Frase14,la,O
Frase14,collaborazione,O
Frase14,.,O
Frase15,Puoi,O
Frase15,cambiare,O
Frase15,l'ambientazione,O
Frase15,per,O
Frase15,una,O
Frase15,lezione,B_NOME_SCENARIO
Frase15,di,O
Frase15,gruppo,O
Frase15,?,O
Frase16,Modificami,O
Frase16,il,O
Frase16,contesto,O
Frase16,in,O
Frase16,luogo B_NOME_SCENARIO,
Frase16,informale,O
Frase16,.,O
Frase17,Metti,O
Frase17,un,O
Frase17,nuovo,O
Frase17,ambiente,O
Frase17,per,O
Frase17,una,O
Frase17,riunione,B_NOME_SCENARIO
Frase17,di,O
Frase17,lavoro,O
Frase17,.,O
Frase18,Puoi,O
Frase18,sostituire,O
Frase18,questo,O
Frase18,contesto,O
Frase18,con,O
Frase18,uno,O
Frase18,per,O
Frase18,una,O
Frase18,presentazione,B_NOME_SCENARIO
Frase18,creativa,O
Frase18,?,O
Frase19,Muxi,O
Frase19,",",O
Frase19,puoi,O
Frase19,cambiare,O
Frase19,il,O
Frase19,contesto,O
Frase19,per,O
Frase19,una,O
Frase19,sessione,O
Frase19,di,O
Frase19,formazione,B_NOME_SCENARIO
Frase19,?,O
Frase20,Modifica,O
Frase20,l'ambientazione,O
Frase20,per,O
Frase20,un,O
Frase20,evento,B_NOME_SCENARIO
Frase20,aziendale,O
Frase20,.,O
Frase21,Cambia,O
Frase21,l'atmosfera,O
Frase21,del,O
Frase21,prossimo,O
Frase21,incontro,O
Frase21,di,O
Frase21,squadra,B_NOME_SCENARIO
Frase21,.,O
Frase22,L'incontro,O
Frase22,successivo,O
Frase22,dovrebbe,O
Frase22,avere,O
Frase22,un'atmosfera,O
Frase22,più,O
Frase22,energica,B_NOME_SCENARIO
Frase22,.,O
Frase23,Puoi,O
Frase23,modificare,O
Frase23,l'ambientazione,O
Frase23,della,O
Frase23,conferenza,B_NOME_SCENARIO
Frase23,telefonica,O
Frase23,.,O
Frase24,Muxi,O
Frase24,",",O
Frase24,crea,O
Frase24,un'atmosfera,O
Frase24,in,O
Frase24,stile,O
Frase24,sala,O
Frase24,riunioni,B_NOME_SCENARIO
Frase24,per,O
Frase24,la,O
Frase24,videochiamata,O
Frase24,.,O
Frase25,Cambia,O
Frase25,l'atmosfera,O
Frase25,per,O
Frase25,una,O
Frase25,sessione,O
Frase25,di,O
Frase25,brainstorming,B_NOME_SCENARIO
Frase25,.,O
Frase26,Puoi,O
Frase26,impostare,O
